Layer;category;techno;latitude;longitude;operator;capacite_gwh_year;site_info;operational_status;co2_injection_potential_tpy;municipality;eiffel;eiffel_project_name;capacity_kt_per_year
Offtake;Food processing;Vegetable raw material processing;52,73246322;7,788726188;Mühlen für Nahrungs- oder Futtermittel;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Löningen;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,73194651;7,911604811;Schlachtanlage;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Essen;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,73162522;7,74276413;Herstellung von Erfrischungsgetränken;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Löningen;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,72959518;20,79901886;Zak?ad Mi?sny LENARCIK - S?awomir Lenarcik - Agregat pr?dotwórczy;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Gotardy;0;N/A;N/A
Offtake;Food processing;Mixed animal & vegetable raw material processing;52,72756924;8,033098453;Verarbeitung von Kartoffeln;N/A;Capacity: >75 tonnes/day if animal share ?10%, or >[300 – (22.5 × A)] tonnes/day if animal share <10%;Operational;500;Essen;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,724263;-6,802517;Ballon Meats Limited;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Carlow;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,72213677;8,503229165;Geflügelschlachterei;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Barnstorf;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,71979159;7,21612447;Futtermühle;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Meppen;0;N/A;N/A
Offtake;Food processing;Milk processing;52,71368;6,52183;DOC Kaas (Zuivelpark);N/A;Capacity: >200 tonnes/day;Operational;200;Hoogeveen;0;N/A;N/A
Offtake;Food processing;Milk processing;52,70927;6,47656;DOC Kaas (Zuivelfabriek);N/A;Capacity: >200 tonnes/day;Operational;200;Hoogeveen;0;N/A;N/A
Offtake;Food processing;Milk processing;52,70902979;23,43491504;PGB Energetyka 13 Sp. z o.o.;N/A;Capacity: >200 tonnes/day;Operational;200;Stary Kornin;0;N/A;N/A
Offtake;Food processing;Mixed animal & vegetable raw material processing;52,70169;6,18539;Agrifirm NWE Meppel;N/A;Capacity: >75 tonnes/day if animal share ?10%, or >[300 – (22.5 × A)] tonnes/day if animal share <10%;Operational;500;Meppel;0;N/A;N/A
Offtake;Food processing;Mixed animal & vegetable raw material processing;52,69639;6,17708;Cooperatie De Valk Wekerom UA (locatie Meppel);N/A;Capacity: >75 tonnes/day if animal share ?10%, or >[300 – (22.5 × A)] tonnes/day if animal share <10%;Operational;500;Meppel;0;N/A;N/A
Offtake;Food processing;Milk processing;52,69221;6,17409;FrieslandCampina Kievit (Meppel);N/A;Capacity: >200 tonnes/day;Operational;200;Meppel;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,68561731;8,047088588;Mühlen für Nahrungs- oder Futtermittel;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Dinklage;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,67945;18,31861;"Oddzia? ""Cukrownia Kruszwica"" - Instalacja do produkcji wapna";N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Kruszwica;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,67778015;18,31972313;"Zak?ady T?uszczowe ""Kruszwica"" SA; Zak?ad produkcyjny w Kobylnikach - linia rozlewni oleju";N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Kobylniki;0;N/A;N/A
Offtake;Food processing;Animal raw material processing;52,66870308;8,265007387;Gewürzte und marinierte Produkte;N/A;Capacity: >75 tonnes/day finished product, excluding milk;Operational;500;Lohne;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,6677439;8,264003117;Schlachten von Tieren;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Lohne;0;N/A;N/A
Offtake;Food processing;Mixed animal & vegetable raw material processing;52,66704474;8,262891003;Herstellung von Nahrungsmitteln;N/A;Capacity: >75 tonnes/day if animal share ?10%, or >[300 – (22.5 × A)] tonnes/day if animal share <10%;Operational;500;Lohne;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,66546024;8,121433969;Mühlen für Nahrungs- oder Futtermittel;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Dinklage;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,66462245;8,211976276;Anlage zum Schlachten von Tieren;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Lohne;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,66011;5,10548;Plukon Blokker BV;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Blokker;0;N/A;N/A
Offtake;Food processing;Mixed animal & vegetable raw material processing;52,65909181;8,204993723;Herstellung von sonstigen Nahrungsmittelerzeugnissen;N/A;Capacity: >75 tonnes/day if animal share ?10%, or >[300 – (22.5 × A)] tonnes/day if animal share <10%;Operational;500;Lohne;0;N/A;N/A
Offtake;Food processing;Milk processing;52,65490566;11,53830644;Behandlung bzw. Verarbeitung von Milch;N/A;Capacity: >200 tonnes/day;Operational;200;Bismark;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,651847;-8,656039;J.H. Roche and Sons Limited;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Limerick;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,637326;-6,626021;Slaney Foods International Unlimited Company;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Wexford;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,63689099;-6,99532221;William Connolly & Sons Unlimited Company;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Kilkenny;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,63476907;7,962620084;Convenience-Produktion;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Badbergen;0;N/A;N/A
Offtake;Food processing;Mixed animal & vegetable raw material processing;52,63476907;7,962620084;Anlage zum Schlachten von Tieren;N/A;Capacity: >75 tonnes/day if animal share ?10%, or >[300 – (22.5 × A)] tonnes/day if animal share <10%;Operational;500;Badbergen;0;N/A;N/A
Offtake;Food processing;Animal raw material processing;52,63022;16,03151;ABP Poland Sp. z o.o. Oddzia? w K?osowicach - Produkcja;N/A;Capacity: >75 tonnes/day finished product, excluding milk;Operational;500;K?osowice;0;N/A;N/A
Offtake;Food processing;Mixed animal & vegetable raw material processing;52,62262502;7,854517374;Kleine Heide;N/A;Capacity: >75 tonnes/day if animal share ?10%, or >[300 – (22.5 × A)] tonnes/day if animal share <10%;Operational;500;Nortrup;0;N/A;N/A
Offtake;Food processing;Animal raw material processing;52,62262502;7,854517374;Kaltrauchanlage;N/A;Capacity: >75 tonnes/day finished product, excluding milk;Operational;500;Nortrup;0;N/A;N/A
Offtake;Food processing;Mixed animal & vegetable raw material processing;52,62018136;7,853768695;Brüko;N/A;Capacity: >75 tonnes/day if animal share ?10%, or >[300 – (22.5 × A)] tonnes/day if animal share <10%;Operational;500;Nortrup;0;N/A;N/A
Offtake;Food processing;Milk processing;52,61971;6,18587;CZ Rouveen kaasspecialiteiten;N/A;Capacity: >200 tonnes/day;Operational;200;Rouveen;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,61948874;6,861666254;Anlage zum Mahlen von Erbsen;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Emlichheim;0;N/A;N/A
Offtake;Food processing;Animal raw material processing;52,61905968;7,857712555;Räucheranlage;N/A;Capacity: >75 tonnes/day finished product, excluding milk;Operational;500;Nortrup;0;N/A;N/A
Offtake;Food processing;Mixed animal & vegetable raw material processing;52,61905826;7,857564873;Werk 1;N/A;Capacity: >75 tonnes/day if animal share ?10%, or >[300 – (22.5 × A)] tonnes/day if animal share <10%;Operational;500;Nortrup;0;N/A;N/A
